Time,HR bpm
07:56.5,172
07:56.9,173
07:57.2,169
07:57.6,172
07:57.9,172
07:58.3,172
07:58.6,172
07:59.0,173
07:59.3,173
07:59.7,170
08:00.0,171
08:00.4,170
08:00.7,173
08:01.1,172
08:01.4,173
08:01.8,170
08:02.1,173
08:02.5,173
08:02.8,171
08:03.2,171
08:03.5,171
08:03.9,173
08:04.2,171
08:04.6,174
08:04.9,172
08:05.2,172
08:05.6,173
08:05.9,172
08:06.3,171
08:06.6,172
08:07.0,172
08:07.3,173
08:07.7,173
08:08.0,174
08:08.4,174
08:08.7,174
08:09.1,174
08:09.4,175
08:09.7,175
08:10.1,173
08:10.4,173
08:10.8,174
08:11.1,174
08:11.5,176
08:11.8,176
08:12.2,175
08:12.5,175
08:12.8,177
08:13.2,176
08:13.5,174
08:13.9,176
08:14.2,175
08:14.5,176
08:14.9,180
08:15.2,176
08:15.6,175
08:15.9,179
08:16.2,177
08:16.6,175
08:16.9,177
08:17.3,177
08:17.6,180
08:17.9,178
08:18.3,178
08:18.6,178
08:18.9,180
08:19.3,177
08:19.6,178
08:20.0,178
08:20.3,179
08:20.6,180
08:21.0,179
08:21.3,179
08:21.6,179
08:22.0,178
08:22.3,178
08:22.6,176
08:23.0,179
08:23.3,179
08:23.7,179
08:24.0,179
08:24.3,178
08:24.7,180
08:25.0,178
08:25.3,178
08:25.7,177
08:26.0,178
08:26.4,179
08:26.7,180
08:27.0,176
08:27.4,182
08:27.7,179
08:28.0,177
08:28.4,176
08:28.7,178
08:29.0,179
08:29.4,180
08:29.7,179
08:30.1,177
08:30.4,180
08:30.7,179
08:31.1,177
08:31.4,178
08:31.7,177
08:32.1,179
08:32.4,178
08:32.7,181
08:33.1,179
08:33.4,179
08:33.8,179
08:34.1,178
08:34.4,180
08:34.8,179
08:35.1,179
08:35.4,179
08:35.8,180
08:36.1,178
08:36.4,178
08:36.8,179
08:37.1,179
08:37.4,180
08:37.8,179
08:38.1,178
08:38.5,180
08:38.8,178
08:39.1,179
08:39.5,179
08:39.8,179
08:40.1,180
08:40.5,178
08:40.8,181
08:41.1,179
08:41.5,178
08:41.8,179
08:42.1,179
08:42.5,181
08:42.8,181
08:43.1,177
08:43.5,182
08:43.8,181
08:44.1,176
08:44.5,179
08:44.8,178
08:45.2,182
08:45.5,180
08:45.8,180
08:46.2,178
08:46.5,181
08:46.8,181
08:47.2,178
08:47.5,180
08:47.8,179
08:48.2,180
08:48.5,180
08:48.8,181
08:49.2,180
08:49.5,180
08:49.8,181
08:50.2,179
08:50.5,179
08:50.8,181
08:51.2,181
08:51.5,181
08:51.8,179
08:52.2,181
08:52.5,179
08:52.8,181
08:53.2,181
08:53.5,181
08:53.8,181
08:54.2,181
08:54.5,179
08:54.8,179
08:55.2,180
08:55.5,181
08:55.8,182
08:56.1,178
08:56.5,182
08:56.8,180
08:57.1,178
08:57.5,180
08:57.8,178
08:58.2,182
08:58.5,180
08:58.8,179
08:59.2,180
08:59.5,179
08:59.8,179
09:00.2,179
09:00.5,180
09:00.8,180
09:01.2,180
09:01.5,180
09:01.8,178
09:02.2,178
09:02.5,179
09:02.8,180
09:03.2,180
09:03.5,180
09:03.8,178
09:04.2,180
09:04.5,179
09:04.8,178
09:05.2,180
09:05.5,178
09:05.9,179
09:06.2,177
09:06.5,182
09:06.9,178
09:07.2,176
09:07.5,179
09:07.9,178
09:08.2,181
09:08.5,180
09:08.9,178
09:09.2,180
09:09.5,180
09:09.9,179
09:10.2,178
09:10.6,179
09:10.9,178
09:11.2,181
09:11.6,180
09:11.9,179
09:12.2,180
09:12.6,179
09:12.9,179
09:13.2,179
09:13.6,179
09:13.9,180
09:14.2,180
09:14.6,180
09:14.9,180
09:15.2,181
09:15.6,179
09:15.9,180
09:16.2,179
09:16.6,180
09:16.9,179
09:17.2,183
09:17.6,179
09:17.9,180
09:18.2,181
09:18.6,181
09:18.9,181
09:19.2,182
09:19.6,181
09:19.9,182
09:20.2,180
09:20.6,180
09:20.9,180
09:21.2,182
09:21.6,183
09:21.9,182
09:22.2,181
09:22.5,181
09:22.9,182
09:23.2,180
09:23.5,182
09:23.9,184
09:24.2,182
09:24.5,180
09:24.9,181
09:25.2,183
09:25.5,180
09:25.9,182
09:26.2,182
09:26.5,183
09:26.8,180
09:27.2,183
09:27.5,183
09:27.8,180
09:28.2,181
09:28.5,182
09:28.8,181
09:29.2,183
09:29.5,181
09:29.8,183
09:30.1,182
09:30.5,182
09:30.8,180
09:31.1,182
09:31.5,183
09:31.8,184
09:32.1,185
09:32.4,178
09:32.8,185
09:33.1,181
09:33.4,183
09:33.8,182
09:34.1,183
09:34.4,181
09:34.7,185
09:35.1,182
09:35.4,181
09:35.7,182
09:36.1,182
09:36.4,185
09:36.7,183
09:37.0,183
09:37.4,184
09:37.7,181
09:38.0,182
09:38.4,182
09:38.7,182
09:39.0,183
09:39.3,185
09:39.7,182
09:40.0,182
09:40.3,183
09:40.7,183
09:41.0,183
09:41.3,183
09:41.6,185
09:42.0,184
09:42.3,181
09:42.6,184
09:43.0,182
09:43.3,186
09:43.6,185
09:43.9,183
09:44.3,185
09:44.6,182
09:44.9,183
09:45.2,182
09:45.6,183
09:45.9,183
09:46.2,186
09:46.5,183
09:46.9,182
09:47.2,183
09:47.5,183
09:47.9,186
09:48.2,184
09:48.5,183
09:48.8,186
09:49.2,182
09:49.5,182
09:49.8,182
09:50.1,185
09:50.5,183
09:50.8,186
09:51.1,182
09:51.4,184
09:51.8,183
09:52.1,183
09:52.4,185
09:52.7,184
09:53.1,186
09:53.4,185
09:53.7,181
09:54.1,182
09:54.4,183
09:54.7,183
09:55.0,186
09:55.4,185
09:55.7,184
09:56.0,180
09:56.3,185
09:56.7,182
09:57.0,184
09:57.3,184
09:57.6,183
09:58.0,185
09:58.3,181
09:58.6,182
09:59.0,182
09:59.3,182
09:59.6,182
09:59.9,185
10:00.3,182
10:00.6,180
10:00.9,182
10:01.3,181
10:01.6,186
10:01.9,182
10:02.2,182
10:02.6,185
10:02.9,180
10:03.2,182
10:03.6,180
10:03.9,184
10:04.2,182
10:04.6,184
10:04.9,181
10:05.2,183
10:05.5,182
10:05.9,183
10:06.2,183
10:06.5,183
10:06.9,184
10:07.2,185
10:07.5,182
10:07.8,183
10:08.2,183
10:08.5,185
10:08.8,184
10:09.1,184
10:09.5,183
10:09.8,186
10:10.1,182
10:10.4,183
10:10.8,183
10:11.1,185
10:11.4,185
10:11.7,186
10:12.1,185
10:12.4,187
10:12.7,182
10:13.0,188
10:13.4,183
10:13.7,183
10:14.0,183
10:14.3,186
10:14.7,188
10:15.0,186
10:15.3,183
10:15.6,188
10:16.0,186
10:16.3,184
10:16.6,186
10:16.9,185
10:17.3,188
10:17.6,186
10:17.9,189
10:18.2,183
10:18.5,188
10:18.9,187
10:19.2,186
10:19.5,187
10:19.8,186
10:20.1,187
10:20.5,188
10:20.8,188
10:21.1,185
10:21.4,186
10:21.8,186
10:22.1,189
10:22.4,189
10:22.7,186
10:23.0,189
10:23.4,189
10:23.7,185
10:24.0,185
10:24.3,187
10:24.6,187
10:25.0,188
10:25.3,189
10:25.6,188
10:25.9,186
10:26.2,188
10:26.6,185
10:26.9,188
10:27.2,189
10:27.5,189
10:27.8,189
10:28.2,189
10:28.5,187
10:28.8,185
10:29.1,188
10:29.4,188
10:29.8,190
10:30.1,186
10:30.4,189
10:30.7,190
10:31.0,185
10:31.3,187
10:31.7,186
10:32.0,189
10:32.3,189
10:32.6,190
10:32.9,189
10:33.3,186
10:33.6,189
10:33.9,186
10:34.2,189
10:34.5,188
10:34.9,189
10:35.2,189
10:35.5,190
10:35.8,187
10:36.1,185
10:36.5,188
10:36.8,188
10:37.1,189
10:37.4,188
10:37.7,189
10:38.1,190
10:38.4,187
10:38.7,189
10:39.0,188
10:39.3,187
10:39.6,189
10:40.0,189
10:40.3,189
10:40.6,190
10:40.9,190
10:41.2,187
10:41.6,188
10:41.9,188
10:42.2,189
10:42.5,190
10:42.8,191
10:43.1,190
10:43.5,185
10:43.8,188
10:44.1,188
10:44.4,190
10:44.7,190
10:45.0,190
10:45.4,188
10:45.7,190
10:46.0,189
10:46.3,186
10:46.6,189
10:47.0,189
10:47.3,189
10:47.6,190
10:47.9,189
10:48.2,188
10:48.5,188
10:48.9,187
10:49.2,188
10:49.5,189
10:49.8,190
10:50.1,189
10:50.5,191
10:50.8,187
10:51.1,187
10:51.4,186
10:51.7,191
10:52.0,188
10:52.4,189
10:52.7,189
10:53.0,188
10:53.3,189
10:53.6,188
10:54.0,188
10:54.3,187
10:54.6,189
10:54.9,190
10:55.2,187
10:55.6,188
10:55.9,186
10:56.2,189
10:56.5,188
10:56.8,188
10:57.1,188
10:57.5,189
10:57.8,185
10:58.1,188
10:58.4,186
10:58.8,188
10:59.1,187
10:59.4,189
10:59.7,190
11:00.0,189
11:00.3,184
11:00.7,189
11:01.0,186
11:01.3,189
11:01.6,188
11:01.9,188
11:02.3,190
11:02.6,188
11:02.9,186
11:03.2,188
11:03.5,186
11:03.9,190
11:04.2,189
11:04.5,188
11:04.8,191
11:05.1,190
11:05.4,185
11:05.8,188
11:06.1,187
11:06.4,191
11:06.7,189
11:07.0,189
11:07.4,192
11:07.7,189
11:08.0,186
11:08.3,187
11:08.6,189
11:09.0,192
11:09.3,190
11:09.6,187
11:09.9,192
11:10.2,190
11:10.5,187
11:10.9,188
11:11.2,189
11:11.5,192
11:11.8,190
11:12.1,189
11:12.4,192
11:12.7,188
11:13.1,189
11:13.4,188
11:13.7,191
11:14.0,190
11:14.3,192
11:14.6,189
11:15.0,190
11:15.3,190
11:15.6,189
11:15.9,192
11:16.2,188
11:16.5,192
11:16.9,192
11:17.2,189
11:17.5,188
11:17.8,189
11:18.1,192
11:18.4,192
11:18.7,190
11:19.1,192
11:19.4,192
11:19.7,190
11:20.0,189
11:20.3,190
11:20.6,192
11:20.9,190
11:21.3,193
11:21.6,189
11:21.9,192
11:22.2,189
11:22.5,192
11:22.8,192
11:23.1,191
11:23.5,192
11:23.8,192
11:24.1,190
11:24.4,188
11:24.7,192
11:25.0,191
11:25.3,193
11:25.7,190
11:26.0,190
11:26.3,192
11:26.6,189
11:26.9,192
11:27.2,190
11:27.5,192
11:27.9,194
11:28.2,190
11:28.5,189
11:28.8,190
11:29.1,192
11:29.4,193
11:29.7,192
11:30.1,191
11:30.4,191
11:30.7,193
11:31.0,189
11:31.3,192
11:31.6,192
11:31.9,191
11:32.2,194
11:32.6,192
11:32.9,190
11:33.2,192
11:33.5,192
11:33.8,192
11:34.1,194
11:34.4,195
11:34.7,188
11:35.1,190
11:35.4,192
11:35.7,193
11:36.0,192
11:36.3,194
11:36.6,191
11:36.9,190
11:37.2,191
11:37.6,192
11:37.9,194
11:38.2,190
11:38.5,194
11:38.8,193
11:39.1,190
11:39.4,193
11:39.7,190
11:40.1,192
11:40.4,193
11:40.7,192
11:41.0,190
11:41.3,189
11:41.6,192
11:41.9,192
11:42.3,194
11:42.6,191
11:42.9,189
11:43.2,192
11:43.5,190
11:43.8,194
11:44.1,191
11:44.4,191
11:44.8,194
11:45.1,190
11:45.4,192
11:45.7,191
11:46.0,191
11:46.3,192
11:46.6,194
11:47.0,192
11:47.3,189
11:47.6,192
11:47.9,192
11:48.2,191
11:48.5,193
11:48.8,189
11:49.1,193
11:49.5,189
11:49.8,193
11:50.1,192
11:50.4,191
11:50.7,194
11:51.0,192
11:51.3,190
11:51.7,191
11:52.0,193
11:52.3,191
11:52.6,195
11:52.9,192
11:53.2,190
11:53.5,190
11:53.8,193
11:54.2,192
11:54.5,195
11:54.8,192
11:55.1,189
11:55.4,190
11:55.7,194
11:56.0,193
11:56.3,192
11:56.6,192
11:57.0,192
11:57.3,191
11:57.6,192
11:57.9,192
11:58.2,194
11:58.5,194
11:58.8,190
11:59.1,192
11:59.5,194
11:59.8,192
12:00.1,195
12:00.4,190
12:00.7,192
12:01.0,192
12:01.3,193
12:01.6,193
12:02.0,194
12:02.3,196
12:02.6,194
12:02.9,189
12:03.2,194
12:03.5,191
12:03.8,197
12:04.1,191
12:04.4,195
12:04.7,196
12:05.0,192
12:05.4,192
12:05.7,193
12:06.0,194
12:06.3,194
12:06.6,192
12:06.9,195
12:07.2,197
12:07.5,192
12:07.8,192
12:08.2,193
12:08.5,195
12:08.8,195
12:09.1,195
12:09.4,197
12:09.7,196
12:10.0,192
12:10.3,193
12:10.6,194
12:10.9,197
12:11.2,195
12:11.5,194
12:11.9,197
12:12.2,196
12:12.5,192
12:12.8,192
12:13.1,195
12:13.4,198
12:13.7,194
12:14.0,193
12:14.3,198
12:14.6,196
12:14.9,192
12:15.2,194
12:15.5,196
12:15.9,196
12:16.2,196
12:16.5,194
12:16.8,197
12:17.1,193
12:17.4,193
12:17.7,194
12:18.0,198
12:18.3,197
12:18.6,194
12:18.9,195
12:19.2,195
12:19.5,194
12:19.9,194
12:20.2,194
12:20.5,200
12:20.8,196
12:21.1,197
12:21.4,192
12:21.7,197
12:22.0,192
12:22.3,198
12:22.6,194
12:22.9,198
12:23.2,197
12:23.5,197
12:23.8,194
12:24.1,196
12:24.4,195
12:24.8,197
12:25.1,196
12:25.4,197
12:25.7,199
12:26.0,197
12:26.3,193
12:26.6,195
12:26.9,197
12:27.2,199
12:27.5,195
12:27.8,199
12:28.1,199
12:28.4,194
12:28.7,195
12:29.0,196
12:29.3,199
12:29.6,198
12:29.9,196
12:30.2,195
12:30.6,197
12:30.9,194
12:31.2,195
12:31.5,197
12:31.8,199
12:32.1,199
12:32.4,198
12:32.7,192
12:33.0,197
12:33.3,194
12:33.6,201
12:33.9,196
12:34.2,198
12:34.5,199
12:34.8,196
12:35.1,194
12:35.4,194
12:35.7,199
12:36.0,199
12:36.3,197
12:36.7,194
12:37.0,199
12:37.3,193
12:37.6,195
12:37.9,196
12:38.2,201
12:38.5,197
12:38.8,199
12:39.1,194
12:39.4,195
12:39.7,195
12:40.0,198
12:40.3,197
12:40.6,196
12:40.9,199
12:41.2,197
12:41.5,195
12:41.8,197
12:42.1,195
12:42.5,200
12:42.8,199
12:43.1,198
12:43.4,192
12:43.7,197
12:44.0,195
12:44.3,197
12:44.6,197
12:44.9,199
12:45.2,199
12:45.5,194
12:45.8,194
12:46.1,197
12:46.4,198
12:46.7,197
12:47.0,195
12:47.3,200
12:47.6,196
12:47.9,194
12:48.3,194
12:48.6,198
12:48.9,199
12:49.2,198
12:49.5,193
12:49.8,197
12:50.1,194
12:50.4,195
12:50.7,195
12:51.0,200
12:51.3,197
12:51.6,198
12:51.9,193
12:52.2,197
12:52.5,194
12:52.8,197
12:53.1,197
12:53.4,201
12:53.7,199
12:54.0,193
12:54.4,194
12:54.7,195
12:55.0,199
12:55.3,195
12:55.6,200
12:55.9,197
12:56.2,194
12:56.5,194
12:56.8,195
12:57.1,197
12:57.4,199
12:57.7,195
12:58.0,197
12:58.3,194
12:58.6,195
12:59.0,195
12:59.3,197
12:59.6,199
12:59.9,195
13:00.2,195
13:00.5,194
13:00.8,195
13:01.1,195
13:01.4,197
13:01.7,198
13:02.0,195
13:02.3,196
13:02.6,194
13:02.9,194
13:03.2,195
13:03.6,198
13:03.9,199
13:04.2,194
13:04.5,197
13:04.8,194
13:05.1,193
13:05.4,195
13:05.7,199
13:06.0,199
13:06.3,196
13:06.6,195
13:06.9,197
13:07.2,195
13:07.5,194
13:07.8,198
13:08.1,198
13:08.4,201
13:08.7,194
13:09.1,196
13:09.4,196
13:09.7,193
13:10.0,196
13:10.3,197
13:10.6,197
13:10.9,196
13:11.2,197
13:11.5,198
13:11.8,194
13:12.1,195
13:12.4,196
13:12.7,196
13:13.0,195
13:13.3,195
13:13.6,195
13:14.0,195
13:14.3,196
